"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","AAHMAUT","AAHMAUT","AAHMAUT.CBL"
"DBM","AAHMDVE","AAHMDVE","AAHMDVE.CBL"
"DBM","AAHMIVE","AAHMIVE","AAHMIVE.CBL"
"DBM","AAHPASA","AAHPASA","AAHPASA.CBL"
"DBM","AAHPRPR","AAHPRPR","AAHPRPR.CBL"
"DBM","AAHRABB","AAHRABB","AAHRABB.CBL"
"DBM","AAHRAGR","AAHRAGR","AAHRAGR.CBL"
"DBM","AAHSELG","AAHSELG","AAHSELG.CBL"
"DBM","AAHSIAV","AAHSIAV","AAHSIAV.CBL"
"DBM","AAHSOEG","AAHSOEG","AAHSOEG.CBL"
"DBM","AAHSQLF","AAHSQLF","AAHSQLF.CBL"
"DBM","AAHSTRT","AAHSTRT","AAHSTRT.CBL"
"DBM","AAHTEPR","AAHTEPR","AAHTEPR.CBL"
"DBM","AAHTKON","AAHTKON","AAHTKON.CBL"
"DBM","AAHTRA2","AAHTRA2","AAHTRA2.CBL"
"DBM","AAHTRAB","AAHTRAB","AAHTRAB.CBL"
"DBM","AAHUWEB","AAHUWEB","AAHUWEB.CBL"
"DBM","AAHVAJB","AAHVAJB","AAHVAJB.CBL"
"DBM","AAHVAKO","AAHVAKO","AAHVAKO.CBL"
"DBM","AAHVALA","AAHVALA","AAHVALA.CBL"
"DBM","AAHVARE","AAHVARE","AAHVARE.CBL"
"DBM","AAHVEAN","AAHVEAN","AAHVEAN.CBL"
"DBM","AAHVEOT","AAHVEOT","AAHVEOT.CBL"
"DBM","AAHVGRP","AAHVGRP","AAHVGRP.CBL"
"DBM","AAHVIKI","AAHVIKI","AAHVIKI.CBL"
"DBM","AAHVKAT","AAHVKAT","AAHVKAT.CBL"
"DBM","AAHVKIT","AAHVKIT","AAHVKIT.CBL"
"DBM","AAHVKSV","AAHVKSV","AAHVKSV.CBL"
"DBM","AAHVLDK","AAHVLDK","AAHVLDK.CBL"
"DBM","AAHVPKA","AAHVPKA","AAHVPKA.CBL"
"DBM","AAHVRUV","AAHVRUV","AAHVRUV.CBL"
"DBM","AAHVUGR","AAHVUGR","AAHVUGR.CBL"
"DBM","AARSKV1","AARSKV1","AARSKV1.CBL"
"DBM","AARSRAB","AARSRAB","AARSRAB.CBL"
"DBM","AASAVDB","AASAVDB","AASAVDB.CBL"
"DBM","AASDELS","AASDELS","AASDELS.CBL"
"DBM","AASGESO","AASGESO","AASGESO.CBL"
"DBM","AASKUN2","AASKUN2","AASKUN2.CBL"
"DBM","AASKUND","AASKUND","AASKUND.CBL"
"DBM","AASOSTA","AASOSTA","AASOSTA.CBL"
